timestamp,equipment_id,day,shift,vibration_rms,temperature,pressure,motor_current,acoustic_db,flow_rate,harmonic_freq_1x,harmonic_freq_2x,harmonic_freq_bearing,harmonic_freq_2_3khz
2026-01-29T20:06:16.757025,HYD_PRESS_07,1,evening,2.4,74.779,172.896,13.981,78.711,47.164,0.8248,0.3959,0.2626,0.2447
2026-01-29T20:11:16.757025,HYD_PRESS_07,1,evening,2.177,73.959,159.936,13.845,78.053,44.819,0.7768,0.386,0.2545,0.2103
2026-01-29T20:16:16.757025,HYD_PRESS_07,1,evening,2.354,75.642,159.245,13.863,78.514,46.163,0.8733,0.3932,0.251,0.2152
2026-01-29T20:21:16.757025,HYD_PRESS_07,1,evening,2.559,72.312,166.044,13.163,77.423,46.75,0.7699,0.4556,0.2494,0.2189
2026-01-29T20:26:16.757025,HYD_PRESS_07,1,evening,2.214,73.565,162.697,14.068,79.93,44.398,0.8369,0.4051,0.2474,0.2265
2026-01-29T20:31:16.757025,HYD_PRESS_07,1,evening,2.59,77.692,160.804,13.658,79.912,47.684,0.8162,0.3884,0.2361,0.2356
2026-01-29T20:36:16.757025,HYD_PRESS_07,1,evening,2.557,78.755,164.64,14.052,79.957,45.739,0.776,0.3944,0.2275,0.2175
2026-01-29T20:41:16.757025,HYD_PRESS_07,1,evening,2.043,77.419,165.435,13.661,79.553,44.128,0.8181,0.4461,0.2489,0.2451
2026-01-29T20:46:16.757025,HYD_PRESS_07,1,evening,2.314,74.11,169.577,13.849,78.62,47.129,0.789,0.4107,0.2792,0.2243
2026-01-29T20:51:16.757025,HYD_PRESS_07,1,evening,2.377,71.705,166.481,13.829,79.423,46.232,0.8049,0.4291,0.2356,0.2262
2026-01-29T20:56:16.757025,HYD_PRESS_07,1,evening,2.411,76.374,174.431,13.803,79.801,46.424,0.7292,0.3874,0.2428,0.2214
2026-01-29T21:01:16.757025,HYD_PRESS_07,1,evening,2.388,75.443,164.826,13.276,80.426,47.416,0.7041,0.3992,0.2509,0.2541
2026-01-29T21:06:16.757025,HYD_PRESS_07,1,evening,2.505,80.165,160.047,13.457,78.861,45.909,0.8396,0.3727,0.2777,0.2154
2026-01-29T21:11:16.757025,HYD_PRESS_07,1,evening,2.279,78.564,161.084,13.53,79.932,45.036,0.7225,0.4021,0.2284,0.2342
2026-01-29T21:16:16.757025,HYD_PRESS_07,1,evening,2.456,76.643,158.815,13.231,79.494,46.87,0.8114,0.4392,0.2175,0.2313
2026-01-29T21:21:16.757025,HYD_PRESS_07,1,evening,2.461,72.903,174.329,13.769,76.925,47.301,0.8125,0.4104,0.2361,0.2318
2026-01-29T21:26:16.757025,HYD_PRESS_07,1,evening,2.561,75.721,169.11,14.196,78.343,45.609,0.7513,0.4236,0.2728,0.2213
2026-01-29T21:31:16.757025,HYD_PRESS_07,1,evening,2.458,76.757,165.065,14.063,78.315,49.778,0.7555,0.3755,0.2481,0.2329
2026-01-29T21:36:16.757025,HYD_PRESS_07,1,evening,2.383,76.474,167.366,13.605,77.441,44.696,0.8313,0.3743,0.2282,0.2343
2026-01-29T21:41:16.757025,HYD_PRESS_07,1,evening,2.443,75.652,160.581,13.673,78.799,45.142,0.7777,0.4257,0.2539,0.217
2026-01-29T21:46:16.757025,HYD_PRESS_07,1,evening,2.21,72.344,167.575,13.781,79.484,51.137,0.8179,0.4168,0.2713,0.24
2026-01-29T21:51:16.757025,HYD_PRESS_07,1,evening,2.37,76.586,161.136,13.556,77.983,46.612,0.8285,0.4341,0.2687,0.236
2026-01-29T21:56:16.757025,HYD_PRESS_07,1,evening,2.346,77.411,165.321,13.303,77.639,47.329,0.9157,0.344,0.2634,0.2133
2026-01-29T22:01:16.757025,HYD_PRESS_07,1,night,2.419,64.771,154.874,11.574,65.737,47.536,0.7635,0.4065,0.2506,0.2229
2026-01-29T22:06:16.757025,HYD_PRESS_07,1,night,1.917,62.35,162.625,11.322,69.378,46.999,0.7604,0.3966,0.2598,0.2381
2026-01-29T22:11:16.757025,HYD_PRESS_07,1,night,1.869,61.976,171.335,11.306,67.396,47.443,0.737,0.4275,0.2921,0.2398
2026-01-29T22:16:16.757025,HYD_PRESS_07,1,night,2.059,60.067,173.162,11.089,66.07,46.67,0.7537,0.3982,0.1848,0.2192
2026-01-29T22:21:16.757025,HYD_PRESS_07,1,night,1.95,64.342,165.995,11.338,66.835,46.051,0.8721,0.3569,0.2729,0.2296
2026-01-29T22:26:16.757025,HYD_PRESS_07,1,night,2.417,58.306,164.241,11.694,67.151,45.766,0.8057,0.4199,0.2814,0.2171
2026-01-29T22:31:16.757025,HYD_PRESS_07,1,night,2.151,61.454,169.498,11.61,67.949,47.269,0.7896,0.3852,0.2379,0.238
2026-01-29T22:36:16.757025,HYD_PRESS_07,1,night,2.094,63.48,171.388,11.341,67.551,46.271,0.7586,0.3832,0.2646,0.2356
2026-01-29T22:41:16.757025,HYD_PRESS_07,1,night,2.293,63.239,168.41,11.425,67.216,46.357,0.7891,0.433,0.2662,0.2376
2026-01-29T22:46:16.757025,HYD_PRESS_07,1,night,1.946,60.151,170.791,11.755,67.666,47.267,0.8048,0.4179,0.2333,0.2504
2026-01-29T22:51:16.757025,HYD_PRESS_07,1,night,2.244,62.819,160.873,11.422,67.349,45.837,0.7994,0.3731,0.2512,0.2227
2026-01-29T22:56:16.757025,HYD_PRESS_07,1,night,2.027,63.767,157.76,11.096,65.652,46.257,0.7589,0.4073,0.2546,0.2244
2026-01-29T23:01:16.757025,HYD_PRESS_07,1,night,2.094,60.68,164.907,11.431,67.214,45.521,0.8155,0.4443,0.2668,0.2279
